objetID,SIREDO,Macrosection,Indice national,Dép_SectionIndice_Sens,Dép_SectionIndice,Route,Début section,Fin section,Section,Sens,Compteur Sens,Département,PR,Abscisse,Sens,Type Compteur,Année,TMJA TV,TMJA PL,%PL,"janvier
TMJA TV","février
TMJA TV","mars
TMJA TV","avril
TMJA TV","mai
TMJA TV","juin
TMJA TV","juillet
TMJA TV","août
TMJA TV","septembre
TMJA TV","octobre
TMJA TV","novembre
TMJA TV","décembre
TMJA TV",Année,TMJA TV,TMJA PL,%PL,"janvier
TMJA TV","février
TMJA TV","mars
TMJA TV","avril
TMJA TV","mai
TMJA TV","juin
TMJA TV","juillet
TMJA TV","août
TMJA TV","septembre
TMJA TV","octobre
TMJA TV","novembre
TMJA TV","décembre
TMJA TV",Année,TMJA TV,TMJA PL,%PL,"janvier
TMJA TV","février
TMJA TV","mars
TMJA TV","avril
TMJA TV","mai
TMJA TV","juin
TMJA TV","juillet
TMJA TV","août
TMJA TV","septembre
TMJA TV","octobre
TMJA TV","novembre
TMJA TV","décembre
TMJA TV",Année,TMJA TV,TMJA PL,%PL,"janvier
TMJA TV","février
TMJA TV","mars
TMJA TV","avril
TMJA TV","mai
TMJA TV","juin
TMJA TV","juillet
TMJA TV","août
TMJA TV","septembre
TMJA TV","octobre
TMJA TV","novembre
TMJA TV","décembre
TMJA TV",Année,TMJA TV,TMJA PL,%PL,"janvier
TMJA TV","février
TMJA TV","mars
TMJA TV","avril
TMJA TV","mai
TMJA TV","juin
TMJA TV","juillet
TMJA TV","août
TMJA TV","septembre
TMJA TV","octobre
TMJA TV","novembre
TMJA TV","décembre
TMJA TV","Recueil
précédent","TMJA TV
précédent","TMJA PL
précédent","%PL
précédent"
11,MY269.C,,,690_501203_2,690_501203,A42,Fin A42 DIRCE/A46N,Début A42/D383,4+250 => 0+0,PR décroissants,GRAPPINIERE->Lyon,69,2,17,2,Permanent,2021,"47,967",2350,4.90 %,"42,235","44,129","45,682","41,793","46,876","53,273","54,222","46,581","52,120","52,089","49,365","47,015",2020,"41,760","2,472",5.9%,"48,908","50,682","31,131","14,972","32,187","50,093","53,401","45,959","49,803","47,043","34,372","42,573",2019,"48,553","2,837",5.8%,"48,387","50,652","50,893","51,408","40,221","43,095","51,577","44,699","52,410","51,228","48,625","49,439","2,018","50,692","3,092",6.1,"49,018","49,598","51,086","51,826","51,485","55,300","54,065","46,429","52,840","51,308","48,359","47,057",2017,"50,130","2,907",5.8,"47,345","49,690","50,887","50,963","50,230","54,377","50,290","43,950","52,694","52,534","50,711","48,118",,,,
12,MY269.C,,,690_501203_1,690_501203,A42,Début A42/D383,Fin A42 DIRCE/A46N,0+0 => 4+250,PR croissants,GRAPPINIERE->Miribel,69,2,17,1,Permanent,2021,"48,779",2687,5.51 %,"42,634","45,295","46,629","42,779","47,590","54,070","53,035","48,520","53,540","53,506","50,346","47,249",2020,"42,344","3,392",8.0%,"49,656","51,579","31,494","15,176","32,721","49,451","52,966","47,790","51,919","47,632","34,803","42,952",2019,"48,999","4,300",8.8%,"48,841","51,582","52,318","51,298","40,471","44,952","52,109","45,404","51,753","51,547","48,495","49,213","2,018","51,523","3,400",6.6,"49,650","50,461","51,876","53,427","52,118","56,125","53,248","47,494","53,844","52,454","49,371","48,317",2017,"51,069","3,319",6.5,"47,821","50,746","51,342","52,503","51,455","54,755","51,102","46,728","54,188","52,547","51,370","48,510",,,,
13,MY369.A,,,690_501501_3,690_501501,A43,Début A43,Fin A43 DIRCE/D112,1+61 => 3+805,Cumulé,ECHANGEUR 8 MAI,69,2,500,3,Permanent,2021,"121,375",5122,4.22 %,"110,147","115,013","115,703","103,103","114,396","133,423","130,124","112,403","136,419","133,097","130,190","122,441",2020,"108,093","4,551",4.2%,"134,027","137,551","81,970","39,277","84,699","124,633","129,259","112,905","128,583","122,899","89,227","112,352",2019,"129,102","5,814",4.5%,"135,148","137,892","139,078","137,066","105,624","108,990","133,930","113,616","134,878","136,924","133,975","132,099","2,018","134,810","6,470",4.8,"136,155","139,494","142,542","135,512","130,256","140,053","135,965","117,307","137,171","138,086","135,787","130,134",2017,"135,401","5,957",4.4,"136,213","141,094","143,653","134,940","132,480","138,416","130,620","115,055","138,319","140,584","140,652","133,691",2016,"133,513","5,874",4.4
14,MY369.A,,,690_501501_2,690_501501,A43,Fin A43 DIRCE/D112,Début A43,3+805 => 1+61,PR décroissants,ECHANGEUR 8 MAI->O,69,2,500,2,Permanent,2021,"58,346",2608,4.47 %,"53,302","55,123","55,894","50,163","54,720","64,062","62,372","55,369","65,483","63,675","62,108","57,836",2020,"52,217","2,308",4.4%,"64,647","65,859","39,898","19,036","41,401","60,522","62,410","55,680","61,891","59,070","43,110","53,173",2019,"61,910","2,956",4.8%,"64,862","65,846","66,909","65,860","50,507","52,240","64,506","55,247","65,120","65,240","63,827","62,762","2,018","64,720","3,236",5.0,"65,558","66,694","68,129","65,343","62,494","66,489","65,247","57,213","66,713","66,042","65,112","61,945",2017,"65,247","2,805",4.3,"66,382","68,282","69,618","65,245","64,230","66,836","62,451","55,634","66,808","67,610","67,156","63,172",,,,
15,MY369.A,,,690_501501_1,690_501501,A43,Début A43,Fin A43 DIRCE/D112,1+61 => 3+805,PR croissants,ECHANGEUR 8 MAI->E,69,2,500,1,Permanent,2021,"63,029",2508,3.98 %,"56,844","59,890","59,808","52,940","59,675","69,360","67,752","57,033","70,935","69,422","68,081","64,604",2020,"55,876","2,235",4.0%,"69,379","71,692","42,071","20,241","43,298","64,111","66,849","57,225","66,691","63,828","46,116","59,178",2019,"67,191","2,858",4.3%,"70,286","72,047","72,170","71,206","55,117","56,750","69,423","58,370","69,758","71,684","70,148","69,338","2,018","70,090","3,154",4.5,"70,597","72,800","74,413","70,169","67,762","73,564","70,718","60,094","70,458","72,044","70,675","68,189",2017,"70,154","3,156",4.5,"69,831","72,812","74,035","69,695","68,250","71,580","68,169","59,421","71,511","72,974","73,496","70,519",,,,
16,MY569.D,,,690_501702_3,690_501702,A450,Début A450/A7,Fin A450/D386,0+0 => 7+972,Cumulé,IRIGNY,69,2,741,3,Permanent,2021,"54,833",4161,7.59 %,"49,668","50,511","52,476","47,725","52,178","60,931","58,650","46,445","61,880","60,974","59,704","56,787",2020,"48,637","3,769",7.8%,"59,311","61,042","36,785","19,688","39,108","57,206","55,722","45,020","59,322","57,021","42,417","51,295",2019,"57,604","4,066",7.1%,"58,092","59,691","60,992","59,165","47,369","49,453","64,023","50,315","63,186","61,792","58,580","58,593","2,018","57,026","3,991",7.0,"57,774","58,134","60,816","58,610","55,840","60,407","54,394","44,889","57,673","60,834","58,557","56,721",2017,"54,013","4,050",7.5,"47,807","50,973","54,855","49,995","52,000","57,955",,"45,041","59,285","60,452","60,032","56,124",2016,"53,235","3,779",7.1
17,MY569.D,,,690_501702_2,690_501702,A450,Fin A450/D386,Début A450/A7,7+972 => 0+0,PR décroissants,IRIGNY->Est,69,2,741,2,Permanent,2021,"26,530",2082,7.85 %,"24,501","24,997","25,787","23,611","25,633","29,464","27,805","21,980","29,123","29,323","28,686","27,462",2020,"23,952","1,931",8.1%,"28,882","29,898","18,076","9,773","19,378","28,380","27,450","22,039","29,247","28,068","20,990","25,385",2019,"28,317","2,053",7.3%,"28,253","29,277","29,843","29,180","23,324","24,327","32,196","25,421","30,990","29,928","28,466","28,598","2,018","27,951","2,068",7.4,"28,150","28,573","29,724","28,823","27,617","29,825","26,882","22,036","28,052","29,734","28,419","27,744",2017,"24,543","2,012",8.2,"18,470","20,775","23,914","20,799","22,520","26,480","24,235","21,888","28,856","29,746","29,287","27,415",,,,
18,MY569.D,,,690_501702_1,690_501702,A450,Début A450/A7,Fin A450/D386,0+0 => 7+972,PR croissants,IRIGNY->Ouest,69,2,741,1,Permanent,2021,"28,302",2080,7.35 %,"25,167","25,514","26,688","24,113","26,545","31,467","30,845","24,464","32,756","31,651","31,017","29,325",2020,"24,685","1,842",7.5%,"30,428","31,143","18,709","9,914","19,730","28,825","28,271","22,981","30,075","28,953","21,427","25,910",2019,"29,287","2,013",6.9%,"29,839","30,414","31,149","29,986","24,046","25,126","31,828","24,894","32,196","31,863","30,114","29,995","2,018","29,075","1,831",6.3,"29,624","29,561","31,092","29,787","28,223","30,582","27,512","22,853","29,621","31,100","30,138","28,977",2017,"29,470","1,797",6.1,"29,337","30,198","30,941","29,196","29,480","31,475",,"23,153","30,429","30,706","30,745","28,709",,,,
19,MYL42.a,A0047_M2,,420_500500_3,420_500500,A47,Ech. ENTREE 11,Ech. COUZON,14+0 => 22+900,Cumulé,GRAND CROIX,42,21,770,3,Permanent,2021,"61,344","8,034",13.10 %,"62,144","51,564","56,680","49,311","59,294","66,922","66,341","62,388","67,732","66,980","63,803","62,097",2020,"57,395","7,104",12.4%,"71,685","71,975","43,418","20,894","43,392","70,462","78,295","72,307","67,117","47,674","28,702","60,783",2019,"62,900","7,436",11.8%,"59,176","62,239","63,024","66,524","63,096","64,969","63,099","56,181","63,887","66,689","62,520","63,399","2,018","75,059","7,596",10.1,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,2017,"75,828","7,886",10.4,"70,956","77,634","78,451","78,211","64,618","80,485","79,186","71,610","79,546","79,857","76,731","73,206",2013,"74,682","7,842",10.5
20,MYL42.a,,,420_500500_2,420_500500,A47,Ech. COUZON,Ech. ENTREE 11,22+900 => 14+0,PR décroissants,GRAND CROIX->Lyon,42,21,770,2,Permanent,2021,"30,253",4000,13.22 %,"25,970","27,454","28,032","24,479","29,326","33,493","33,074","30,947","33,804","33,463","31,878","30,935",2020,"26,243","3,643",13.9%,"30,504","31,878","19,205","9,591","19,510","30,755","33,491","31,005","31,708","29,846","20,848","26,905",2019,"31,431","3,776",12.0%,"29,836",3132400.0%,"31,851","33,207","31,467","32,513","31,256","27,623","31,919","33,254","31,260","31,663","2,018","37,305","3,855",10.3,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,2017,"37,807","3,818",10.1,"35,662","38,993","39,006","39,109","30,925","40,336","39,502","35,571","39,692","39,970","38,584","36,664",,,,
21,MYL42.a,,,420_500500_1,420_500500,A47,Ech. ENTREE 11,Ech. COUZON,14+0 => 22+900,PR croissants,GRAND CROIX->St-Et.,42,21,770,1,Permanent,2021,"31,090",4034,12.98 %,"36,174","24,110","28,648","24,832","29,968","33,429","33,267","31,441","33,928","33,517","31,925","31,162",2020,"31,152","3,461",11.1%,"41,181","40,097","24,213","11,303","23,882","39,707","44,804","41,302","35,409","17,828","7,854","33,878",2019,"31,469","3,660",11.6%,"29,340",3091500.0%,"31,173","33,317","31,629","32,456","31,843","28,558","31,968","33,435","31,260","31,736","2,018","37,754","3,741",9.9,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,      ,2017,"38,021","4,220",11.1,"35,294","38,641","39,445","39,102","33,693","40,149","39,684","36,039","39,854","39,887","38,147","36,542",,,,
